1395, 580
1396, 579
1398, 576
1399, 579
1400, 587
1401, 584
1407, 579
1561, 119
1562, 113
1563, 109
1564, 114
1565, 109
1566, 111
1567, 118
1568, 117
1569, 118
1570, 118
1571, 122
1572, 125
1573, 125
1574, 125
1575, 125
1576, 128
1577, 124
1578, 123
1579, 118
1580, 131
1581, 133
1582, 133
1583, 132
1584, 138
1585, 138
1586, 142
1587, 142
1588, 142
1589, 144
1590, 143
1591, 146
1592, 147
1593, 148
1594, 144
1595, 147
1596, 145
1597, 144
1598, 148
1599, 155
1600, 155
1601, 157
1602, 156
1603, 160
1604, 159
1605, 162
1606, 164
1607, 164
1608, 163
1609, 165
1610, 167
1611, 166
1612, 168
1613, 170
1614, 171
1615, 172
1616, 170
1617, 173
1618, 172
1619, 172
1620, 177
1621, 178
1622, 178
1623, 180
1624, 180
1625, 183
1626, 179
1627, 185
1628, 186
1629, 190
1630, 192
1631, 194
1632, 194
1633, 198
1634, 198
1635, 196
1636, 197
1637, 201
1638, 200
1639, 202
1640, 200
1641, 209
1642, 203
1643, 204
1644, 203
2426, 378
2427, 384
2428, 383
2429, 380
2430, 377
2431, 382
2432, 383
2433, 382
2434, 382
2435, 383
2436, 379
2437, 383
2438, 384
2439, 383
2440, 383
2441, 386
2442, 387
2443, 388
2444, 392
2445, 392
2446, 390
2447, 392
2448, 393
2449, 393
2450, 388
2452, 399
2453, 399
2454, 401
2455, 403
2456, 406
2457, 405
2458, 406
2459, 410
2460, 409
2461, 412
2462, 413
2463, 416
2464, 416
2465, 415
2466, 417
3276, 2340
3277, 2340
3278, 2339
3279, 2344
3280, 2348
3281, 2339
3282, 2341
3284, 2341
3285, 2349
3286, 2337
3287, 2341
3288, 2348
3289, 2350
3290, 2351
3291, 2352
3292, 2352
3294, 2354
3295, 2352
3296, 2355
3297, 2352
3298, 2352
3299, 2356
3300, 2357
3301, 2361
3302, 2358
3303, 2361
3304, 2361
3305, 2363
3307, 2363
3308, 2364
3309, 2364
